ra,dec,u,g,r,i,z,class,redshift,plate,mjd,fiberid
167.715655776191,56.9136802420461,18.70632,17.81219,17.52993,17.42408,17.40458,STAR,-0.0008615243,7102,56666,44
333.107602219726,16.6507980960312,19.0926,18.21277,17.84427,17.71727,17.67678,STAR,-0.001089484,5029,55750,186
131.537081339397,54.287293074852,18.35061,17.36478,17.06114,16.92427,16.85657,STAR,-0.0001036123,3167,54822,212
243.432054530944,4.31318780933361,19.03519,17.47085,16.86022,16.63442,16.49818,STAR,-0.0001376987,2178,54629,634
193.061648799525,29.4287785179134,17.43855,16.0554,15.46548,15.11868,14.87912,GALAXY,0.06198805,2239,53726,112
214.356285248928,26.3481503767917,18.20988,16.25934,15.35269,14.92397,14.59761,GALAXY,0.07124007,2127,53859,102
174.145759648071,66.956402100172,16.49582,15.01989,14.51034,14.35541,14.31638,STAR,-0.0001087051,2858,54498,112
207.450562068416,45.7331384849717,18.99987,17.98186,17.61857,17.5202,17.49059,STAR,-0.0006207192,7428,56781,421
19.9919332872385,-10.1782828730681,18.53506,16.97856,16.36234,16.16015,16.04963,STAR,-7.217659e-06,2864,54467,24
6.63852457218596,-10.5717050697195,17.16221,15.59097,15.01514,14.78704,14.69922,STAR,-7.549664e-05,1912,53293,102
16.0137200742825,-10.2839369906217,18.79402,17.42762,17.58082,17.69563,17.80596,STAR,-0.0004467427,3109,54833,193
184.809771037303,67.7265123672152,19.1301,17.69185,16.99394,16.59044,16.31425,GALAXY,0.08166328,493,51957,586
187.148057998691,51.1598750033024,18.96398,18.4521,18.52092,18.47056,18.4111,QSO,0.6687797,971,52644,442
175.198285256595,7.51619464323388,17.4498,17.16278,16.90354,16.51114,16.47928,QSO,0.1299742,1620,53137,392
248.262709964488,33.1133400318033,19.25552,18.36866,18.10624,18.01977,17.97235,STAR,-0.0002314233,5188,55803,326
305.538726373149,-12.0279801411745,18.59266,17.29204,17.13574,17.08836,17.06351,STAR,-0.0003963737,3137,54730,527
166.795513293701,3.09903596084269,19.15508,17.31796,16.39136,15.90038,15.55077,GALAXY,0.07311074,509,52374,413
144.451925768153,28.8152718434275,19.30222,19.13122,19.00269,19.09607,19.09103,QSO,0.9503177,1944,53385,379
145.355631818756,29.1470701753769,19.42462,17.07603,16.70353,15.63117,15.40229,STAR,2.258998e-05,1944,53385,522
151.130963209968,33.8412058820266,19.18139,17.84019,17.02963,16.54439,16.20483,GALAXY,0.09217384,1952,53378,347
126.289833203824,43.2166913369297,19.25958,18.25898,17.78684,17.38661,17.24149,GALAXY,0.1048141,6380,56340,134
202.410284873968,46.3141193048174,18.24095,17.07801,16.64122,16.48353,16.44305,STAR,-0.0002442581,1463,53063,482
175.525971494117,41.9663752056818,18.91168,17.98214,17.64854,17.53312,17.50683,STAR,0.000209258,4698,55623,644
110.159022604527,-0.0166029522735084,19.42269,17.30286,16.40456,16.05791,15.84532,STAR,5.785163e-05,7450,56722,273
251.76989139925,23.899298585264,19.07563,17.47595,16.75371,16.44191,16.27391,STAR,-0.0003102534,2180,54613,312
133.870192934608,10.8534797757377,16.98906,15.48894,14.94815,14.75921,14.70139,STAR,0.0001307813,2667,54142,63
116.014757731779,41.9114912116801,19.59574,17.35744,16.39312,16.05395,15.8674,STAR,1.499505e-05,3161,54779,463
202.486555366808,41.6260077168355,16.48497,15.24676,14.77488,14.47422,14.3324,GALAXY,0.02764097,1462,53112,635
48.7930761468513,0.917782161035501,18.3725,17.12794,16.67242,16.50234,16.44557,STAR,0.000119459,1515,52932,338
152.638911129958,56.4442562763455,17.86425,17.84707,17.85639,17.63597,17.57727,QSO,1.903611,946,52407,431
137.987536497922,33.6895533900076,19.19184,18.05866,17.63484,17.35918,17.23936,GALAXY,0.06334326,1273,52993,217
241.908868641142,43.9666560023032,17.92893,18.183,18.67809,19.0225,19.33175,STAR,-2.948707e-05,6034,56103,356
251.121304015139,35.4247262605894,17.85569,16.61655,16.15265,15.97517,15.91846,STAR,-0.0004668967,2174,53521,23
244.497149013472,57.2764051511476,19.14557,17.12557,16.16506,15.67962,15.30793,GALAXY,0.0685269,6787,56447,696
156.813997460164,17.4291530431029,19.25245,17.54802,16.54243,16.04669,15.66664,GALAXY,0.1106098,2591,54140,186
52.1612164622828,1.10205923625352,19.36809,18.1717,17.5773,17.32391,17.16949,STAR,-0.0001739334,2049,53350,321
55.1268874775586,1.18153076930072,19.50157,17.34629,16.51863,16.21951,16.05908,STAR,-0.0001534616,7331,56658,742
